"question_id","evaluation_group","evaluation_set","category","primary_document_type","question","reference_answer","required_facts","acceptable_evidence","expected_source","expected_metadata_key","expected_metadata_value","parent_ablation","generation_method","review_status"
"C01","基本確認","common","prohibited_information","word","社外の生成AIに資料を貼り付ける前に、入力してはいけない情報を教えてください。","機密区分A、個人情報、認証情報、契約制限情報は外部AIサービスへ入力してはならない。","機密区分A|個人情報|認証情報|契約制限情報","ai_usage_policy.docx#section=2. 入力禁止情報","ai_usage_policy.docx","section","2. 入力禁止情報","false","curated_existing","verified"
"C02","基本確認","common","application_process","pdf","業務で外部AIを使い始めたいのですが、申請には何を書き、いつまでに提出すればよいですか。","AI-REQ-17に利用目的、入力予定データ、匿名化方法、保存期間を登録し、利用開始日の3営業日前までに提出する。","申請フォーム AI-REQ-17|利用目的|入力予定データ|匿名化方法|保存期間|利用開始日の3営業日前までに提出する","ai_application_manual.pdf#page=1","ai_application_manual.pdf","page","1","false","curated_existing","verified"
"C03","基本確認","common","usage_cautions","powerpoint","会議の議事録作成に外部AIを使うとき、設定や入力内容で気をつけることはありますか。","議事録AIの自動アップロードは申請前に無効化し、参加者名、顧客名、録音URLを入力しない。","自動アップロード設定は申請前に無効化する|参加者名、顧客名、録音URLは外部AIへ入力しない","ai_incident_report_2026q1.pptx#slide=4","ai_incident_report_2026q1.pptx","slide","4","false","curated_existing","verified"
"C04","基本確認","common","incident_response","excel","機密情報を外部AIに入力してしまったかもしれません。まず、いつまでにどこへ連絡すればよいですか。","機密区分Aを外部AIへ入力した疑いは重大度Highとして扱い、1時間以内にセキュリティ窓口へ連絡する。","機密区分A、未公表財務、NDA資料を外部AIへ入力|High|1時間以内|セキュリティ窓口","ai_escalation_sla.xlsx#sheet_name=エスカレーションSLA&row=High","ai_escalation_sla.xlsx","sheet_name","エスカレーションSLA","false","curated_existing","verified"
"S-W01","単一文書","diagnostic","word_inference_risk","word","顧客名だけ削除すれば、案件の内容は外部AIに入力しても問題ないですか。","できない。案件名、日付、拠点、製品構成、少数の取引条件などの組合せから顧客や担当者を推定できる場合があり、氏名だけの削除では十分ではない。","本文から氏名を削除しても|案件名、日付、拠点、製品構成、組織の略称、少数の取引条件|顧客、担当者、未公表の取り組みを推定できる場合がある|匿名化済みとは扱わず、外部AIへの入力を停止する","ai_usage_policy.docx#section=2. 入力禁止情報","ai_usage_policy.docx","section","2. 入力禁止情報","false","assistant_draft_after_api_policy_block","verified"
"S-W02","単一文書","diagnostic","word_log_operation","word","外部AIの利用履歴は、どのくらいの期間保存し、どの頻度で確認すればよいですか。","利用ログは365日保管し、外部AIの利用履歴を月次で棚卸しする。","365日保管|月次で棚卸し","ai_usage_policy.docx#section=5. 監査ログ","ai_usage_policy.docx","section","5. 監査ログ","false","assistant_draft_after_api_policy_block","verified"
"S-W03","単一文書","diagnostic","word_urgent_sales","word","急ぎで商談記録を要約したいのですが、未承認の外部AIが使えない場合は何で代用できますか。","顧客記録を未承認の外部AIへ貼り付けず、公開済みの製品情報、合成した想定問答、または社内環境での手作業で対応する。","未承認の外部AIへ商談記録を貼り付けない|公開済みの製品情報|合成した想定問答|社内環境での手作業","ai_usage_policy.docx#section=11. 営業部門での利用","ai_usage_policy.docx","section","11. 営業部門での利用","false","curated_existing","verified"
"S-X01","単一文書","diagnostic","excel_critical_sla","excel","パスワードや秘密鍵を外部AIに送ってしまったかもしれません。どの重大度として扱い、誰の承認で、いつまでにどこへ連絡しますか。","重大度Criticalで、30分以内に緊急窓口へ連絡し、承認者はCISOである。","Critical|30分以内|緊急窓口|CISO","ai_escalation_sla.xlsx#sheet_name=エスカレーションSLA&row=Critical","ai_escalation_sla.xlsx","sheet_name","エスカレーションSLA","false","assistant_draft_after_api_policy_block","verified"
"S-X02","単一文書","diagnostic","excel_contact_hours","excel","外部AIのことで相談したいです。緊急窓口、セキュリティ窓口、AIガバナンス窓口の受付時間と連絡先を教えてください。","緊急窓口は24時間で#sec-warroom、セキュリティ窓口は平日09-18時で#security-help、AIガバナンス窓口は平日10-17時で#ai-governanceである。","セキュリティ緊急窓口|24時間|#sec-warroom|セキュリティ窓口|平日 09:00-18:00|#security-help|AI利用管理者|平日 10:00-17:00|#ai-governance","ai_escalation_sla.xlsx#sheet_name=連絡先","ai_escalation_sla.xlsx","sheet_name","連絡先","false","assistant_draft_after_api_policy_block","verified"
"S-X03","単一文書","diagnostic","excel_audit_sample","excel","MeetingAI Proの監査で見つかった事例を確認したいです。記録IDと重大度、検知のきっかけ、現在の対応状況、再発防止の分類を教えてください。","記録IDはAI-2026-0508-011、重大度はMedium、検知経路は月次棚卸し、対応状況は部門確認中、再発防止タグは議事録設定である。","AI-2026-0508-011|Medium|月次棚卸し|部門確認中|議事録設定","ai_escalation_sla.xlsx#sheet_name=監査ログサンプル&row=AI-2026-0508-011","ai_escalation_sla.xlsx","sheet_name","監査ログサンプル","false","assistant_draft_after_api_policy_block","verified"
